Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city
16,1959-07-11,210.0,Clermont-Ferrand,Saint-Étienne,Plain stage,Dino Bruni,ITA,1959,Dino_Bruni,Flat stage,1932-04-13,Portomaggiore
17,1959-07-13,197.0,Saint-Étienne,Grenoble,Stage with mountain(s),Charly Gaul,LUX,1959,Charly_Gaul,Mountain stage,1932-12-08,Pfaffenthal
18,1959-07-14,243.0,Grenoble,Saint-Vincent,Stage with mountain(s),Ercole Baldini,ITA,1959,Ercole_Baldini,Mountain stage,1933-01-26,Forlì
19,1959-07-15,251.0,Saint-Vincent,Annecy,Stage with mountain(s),Rolf Graf,SUI,1959,Rolf_Graf,Mountain stage,1932-08-19,Unterentfelden
20,1959-07-16,202.0,Annecy,Chalon-sur-Saône,Plain stage,Brian Robinson,GBR,1959,Brian_Robinson,Flat stage,,
21,1959-07-17,69.0,Seurre,Dijon,Individual time trial,Roger Rivière,FRA,1959,Roger_Rivière,Time trial,1936-02-23,Saint-Étienne
22,1959-07-18,331.0,Dijon,Paris,Plain stage,Joseph Groussard,FRA,1959,Joseph_Groussard,Flat stage,1934-03-02,La Chapelle-Janson
1,1958-06-26,184.0,Brussels,Ghent,Plain stage,André Darrigade,FRA,1958,André_Darrigade,Flat stage,1929-04-24,Narrosse
2,1958-06-27,198.0,Ghent,Dunkirk,Plain stage,Gerrit Voorting,NED,1958,Gerrit_Voorting,Flat stage,1923-01-18,Velsen
3,1958-06-28,177.0,Dunkirk,Mers-les-Bains,Plain stage,Gilbert Bauvin,FRA,1958,Gilbert_Bauvin,Flat stage,1927-08-04,Lunéville
4,1958-06-29,205.0,Le Tréport,Versailles,Plain stage,Jean Gainche,FRA,1958,Jean_Gainche,Flat stage,1932-08-12,Remungol
5,1958-06-30,232.0,Versailles,Caen,Plain stage,Tino Sabbadini,FRA,1958,Tino_Sabbadini,Flat stage,1928-08-22,Monsempron-Libos
6,1958-07-01,223.0,Caen,Saint-Brieuc,Plain stage,Martin van Geneugden,BEL,1958,Martin_van_Geneugden,Flat stage,1932-01-21,Zutendaal
7,1958-07-02,170.0,Saint-Brieuc,Brest,Plain stage,Brian Robinson,GBR,1958,Brian_Robinson,Flat stage,,
8,1958-07-03,46.0,Châteaulin,Châteaulin,Individual time trial,Charly Gaul,LUX,1958,Charly_Gaul,Time trial,1932-12-08,Pfaffenthal
9,1958-07-04,206.0,Quimper,Saint-Nazaire,Plain stage,André Darrigade,FRA,1958,André_Darrigade,Flat stage,1929-04-24,Narrosse
