Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city
18,1990-07-19,202.0,Pau,Bordeaux,Plain stage,Gianni Bugno,ITA,1990,Gianni_Bugno,Flat stage,1964-02-14,Brugg
19,1990-07-20,182.5,Castillon-la-Bataille,Limoges,Plain stage,Guido Bontempi,ITA,1990,Guido_Bontempi,Flat stage,1960-01-12,Gussago
20,1990-07-21,45.5,Lac de Vassivière,Lac de Vassivière,Individual time trial,Erik Breukink,NED,1990,Erik_Breukink,Time trial,1964-04-01,Rheden
21,1990-07-22,182.5,Brétigny-sur-Orge,Paris,Plain stage,Johan Museeuw,BEL,1990,Johan_Museeuw,Flat stage,1965-10-13,Jabbeke
P,1989-07-01,7.8,Luxembourg City,Luxembourg City,Individual time trial,Erik Breukink,NED,1989,Erik_Breukink,Time trial,1964-04-01,Rheden
1,1989-07-02,135.5,Luxembourg City,Luxembourg City,Plain stage,Acácio da Silva,POR,1989,Acácio_da_Silva,Flat stage,1961-01-02,Montalegre
2,1989-07-02,46.0,Luxembourg City,Luxembourg City,Team time trial,Super U–Raleigh–Fiat,,1989,Super_U–Raleigh–Fiat,Flat stage,,
3,1989-07-03,241.0,Luxembourg City,Spa,Plain stage,Raúl Alcalá,MEX,1989,Raúl_Alcalá,Flat stage,1964-03-03,Monterrey
4,1989-07-04,255.0,Liège,Wasquehal,Flat cobblestone stage,Jelle Nijdam,NED,1989,Jelle_Nijdam,Flat stage,1963-08-16,Zundert
5,1989-07-06,73.0,Dinard,Rennes,Individual time trial,Greg LeMond,USA,1989,Greg_LeMond,Time trial,1961-06-26,Lakewood
6,1989-07-07,259.0,Rennes,Futuroscope,Plain stage,Joël Pelier,FRA,1989,Joël_Pelier,Flat stage,1962-03-23,Valentigney
7,1989-07-08,258.5,Poitiers,Bordeaux,Plain stage,Etienne De Wilde,BEL,1989,Etienne_De_Wilde,Flat stage,1958-03-23,Wetteren
8,1989-07-09,157.0,Labastide-d'Armagnac,Pau,Plain stage,Martin Earley,IRE,1989,Martin_Earley,Flat stage,1962-06-15,Dublin
9,1989-07-10,147.0,Pau,Cauterets,Stage with mountain(s),Miguel Induráin,ESP,1989,Miguel_Induráin,Mountain stage,1964-07-16,Villava-Atarrabia
10,1989-07-11,136.0,Cauterets,Superbagnères,Stage with mountain(s),Robert Millar,GBR,1989,Robert_Millar,Mountain stage,1958-09-13,Glasgow
11,1989-07-12,158.5,Luchon,Blagnac,Plain stage,Mathieu Hermans,NED,1989,Mathieu_Hermans,Flat stage,1963-01-09,Goirle
12,1989-07-13,242.0,Toulouse,Montpellier,Plain stage,Valerio Tebaldi,ITA,1989,Valerio_Tebaldi,Flat stage,1965-07-02,Chiuduno
13,1989-07-14,179.0,Montpellier,Marseille,Plain stage,Vincent Barteau,FRA,1989,Vincent_Barteau,Flat stage,1962-03-18,Caen
14,1989-07-15,240.0,Marseille,Gap,Hilly stage,Jelle Nijdam,NED,1989,Jelle_Nijdam,,1963-08-16,Zundert
15,1989-07-16,39.0,Gap,Orcières-Merlette,Mountain time trial,Steven Rooks,NED,1989,Steven_Rooks,Time trial,1960-08-07,Schermer
16,1989-07-18,175.0,Gap,Briançon,Stage with mountain(s),Pascal Richard,SUI,1989,Pascal_Richard,Mountain stage,1964-03-16,Vevey
17,1989-07-19,165.0,Briançon,Alpe d'Huez,Stage with mountain(s),Gert-Jan Theunisse,NED,1989,Gert-Jan_Theunisse,Mountain stage,1963-01-14,Oss
18,1989-07-20,91.5,Le Bourg-d'Oisans,Villard-de-Lans,Stage with mountain(s),Laurent Fignon,FRA,1989,Laurent_Fignon,Mountain stage,1960-08-12,18e arrondissement de Paris
19,1989-07-21,125.0,Villard-de-Lans,Aix-les-Bains,Stage with mountain(s),Greg LeMond,USA,1989,Greg_LeMond,Mountain stage,1961-06-26,Lakewood
20,1989-07-22,130.0,Aix-les-Bains,L'Isle-d'Abeau,Plain stage,Giovanni Fidanza,ITA,1989,Giovanni_Fidanza,Flat stage,1965-09-27,Bergame
21,1989-07-23,24.5,Versailles,Paris,Individual time trial,Greg LeMond,USA,1989,Greg_LeMond,Time trial,1961-06-26,Lakewood
P,1988-07-03,1.0,Pornichet,La Baule,Individual time trial,Guido Bontempi,ITA,1988,Guido_Bontempi,Time trial,1960-01-12,Gussago
1,1988-07-04,92.0,Pontchâteau,Machecoul,Plain stage,Steve Bauer,CAN,1988,Steve_Bauer,Flat stage,1959-06-12,Saint Catharines
2,1988-07-04,48.0,La Haie-Fouassière,Ancenis,Team time trial,Panasonic–Isostar–Colnago–Agu,,1988,Panasonic–Isostar–Colnago–Agu,Flat stage,,
3,1988-07-05,213.0,Nantes,Le Mans,Plain stage,Jean-Paul van Poppel,NED,1988,Jean-Paul_van_Poppel,Flat stage,1962-09-30,Arnhem
4,1988-07-06,158.0,Le Mans,Évreux,Plain stage,Acácio da Silva,POR,1988,Acácio_da_Silva,Flat stage,1961-01-02,Montalegre
5,1988-07-07,148.0,Neufchâtel-en-Bray,Liévin,Plain stage,Jelle Nijdam,NED,1988,Jelle_Nijdam,Flat stage,1963-08-16,Zundert
6,1988-07-08,52.0,Liévin,Wasquehal,Individual time trial,Sean Yates,GBR,1988,Sean_Yates,Time trial,1960-05-18,Ewell
7,1988-07-09,225.0,Wasquehal,Reims,Plain stage,Valerio Tebaldi,ITA,1988,Valerio_Tebaldi,Flat stage,1965-07-02,Chiuduno
8,1988-07-10,219.0,Reims,Nancy,Plain stage,Rolf Gölz,GER,1988,Rolf_Gölz,Flat stage,1962-09-30,Bad Schussenried
9,1988-07-11,161.0,Nancy,Strasbourg,Hilly stage,Jérôme Simon,FRA,1988,Jérôme_Simon,,1960-12-05,Troyes
10,1988-07-12,149.0,Belfort,Besançon,Hilly stage,Jean-Paul van Poppel,NED,1988,Jean-Paul_van_Poppel,,1962-09-30,Arnhem
11,1988-07-13,232.0,Besançon,Morzine,Stage with mountain(s),Fabio Parra,COL,1988,Fabio_Parra,Mountain stage,1959-11-22,Sogamoso
12,1988-07-14,227.0,Morzine,Alpe d'Huez,Stage with mountain(s),Steven Rooks,NED,1988,Steven_Rooks,Mountain stage,1960-08-07,Schermer
13,1988-07-15,38.0,Grenoble,Villard-de-Lans,Mountain time trial,Pedro Delgado,ESP,1988,Pedro_Delgado,Time trial,1960-04-15,Ségovie
14,1988-07-17,163.0,Blagnac,Guzet-Neige,Stage with mountain(s),Massimo Ghirotto,ITA,1988,Massimo_Ghirotto,Mountain stage,1961-06-25,Boara Pisani
15,1988-07-18,187.0,Saint-Girons,Luz Ardiden,Stage with mountain(s),Laudelino Cubino,ESP,1988,Laudelino_Cubino,Mountain stage,1963-05-31,Béjar
16,1988-07-19,35.0,Luz Ardiden,Pau,Plain stage,Adrie van der Poel,NED,1988,Adrie_van_der_Poel,Flat stage,1959-06-17,Hoogerheide
17,1988-07-19,198.0,Pau,Bordeaux,Plain stage,Jean-Paul van Poppel,NED,1988,Jean-Paul_van_Poppel,Flat stage,1962-09-30,Arnhem
18,1988-07-20,94.0,Ruelle-sur-Touvre,Limoges,Plain stage,Gianni Bugno,ITA,1988,Gianni_Bugno,Flat stage,1964-02-14,Brugg
19,1988-07-21,188.0,Limoges,Puy de Dôme,Hilly stage,Johnny Weltz,DEN,1988,Johnny_Weltz,,1962-03-20,Copenhague
20,1988-07-22,223.0,Clermont-Ferrand,Chalon-sur-Saône,Plain stage,Thierry Marie,FRA,1988,Thierry_Marie,Flat stage,1963-06-25,Bénouville
21,1988-07-23,46.0,Santenay,Santenay,Individual time trial,Juan Martinéz,ESP,1988,Juan_Martinéz,Time trial,,
22,1988-07-24,173.0,Nemours,Paris,Plain stage,Jean-Paul van Poppel,NED,1988,Jean-Paul_van_Poppel,Flat stage,1962-09-30,Arnhem
P,1987-07-01,6.0,West Berlin,West Berlin,Individual time trial,Jelle Nijdam,NED,1987,Jelle_Nijdam,Time trial,1963-08-16,Zundert
1,1987-07-02,105.0,West Berlin,West Berlin,Plain stage,Nico Verhoeven,NED,1987,Nico_Verhoeven,Flat stage,1961-10-02,Tilbourg
2,1987-07-02,41.0,West Berlin,West Berlin,Team time trial,Carrera Jeans–Vagabond,,1987,Carrera_Jeans–Vagabond,Flat stage,,
3,1987-07-04,219.0,Karlsruhe,Stuttgart,Plain stage,Acácio da Silva,POR,1987,Acácio_da_Silva,Flat stage,1961-01-02,Montalegre
4,1987-07-05,79.0,Stuttgart,Pforzheim,Plain stage,Herman Frison,BEL,1987,Herman_Frison,Flat stage,1961-04-16,Geel
5,1987-07-05,112.0,Pforzheim,Strasbourg,Plain stage,Marc Sergeant,BEL,1987,Marc_Sergeant,Flat stage,1959-08-16,Saint-Trond
6,1987-07-06,169.0,Strasbourg,Épinal,Plain stage,Christophe Lavainne,FRA,1987,Christophe_Lavainne,Flat stage,1963-12-22,Châteaudun
7,1987-07-07,211.0,Épinal,Troyes,Plain stage,Manuel Jorge Domínguez[8],ESP,1987,Manuel_Jorge_Domínguez[8],Flat stage,,
8,1987-07-08,206.0,Troyes,Épinay-sous-Sénart,Plain stage,Jean-Paul van Poppel,NED,1987,Jean-Paul_van_Poppel,Flat stage,1962-09-30,Arnhem
9,1987-07-09,260.0,Orléans,Renazé,Plain stage,Adrie van der Poel,NED,1987,Adrie_van_der_Poel,Flat stage,1959-06-17,Hoogerheide
10,1987-07-10,87.0,Saumur,Futuroscope,Individual time trial,Stephen Roche,IRE,1987,Stephen_Roche,Time trial,1959-11-28,Dundrum
11,1987-07-11,206.0,Poitiers,Chaumeil,Hilly stage,Martial Gayant,FRA,1987,Martial_Gayant,,1962-11-16,Chauny
12,1987-07-12,228.0,Brive,Bordeaux,Plain stage,Davis Phinney,USA,1987,Davis_Phinney,Flat stage,1959-07-10,Boulder
13,1987-07-13,219.0,Bayonne,Pau,Stage with mountain(s),Erik Breukink,NED,1987,Erik_Breukink,Mountain stage,1964-04-01,Rheden
14,1987-07-14,166.0,Pau,Luz Ardiden,Stage with mountain(s),Dag Otto Lauritzen,NOR,1987,Dag_Otto_Lauritzen,Mountain stage,1956-09-12,Grimstad
15,1987-07-15,164.0,Tarbes,Blagnac,Plain stage,Rolf Gölz,GER,1987,Rolf_Gölz,Flat stage,1962-09-30,Bad Schussenried
16,1987-07-16,216.0,Blagnac,Millau,Hilly stage,Régis Clère,FRA,1987,Régis_Clère,,1956-08-15,Langres
17,1987-07-17,239.0,Millau,Avignon,Hilly stage,Jean-Paul van Poppel,NED,1987,Jean-Paul_van_Poppel,,1962-09-30,Arnhem
18,1987-07-19,37.0,Carpentras,Mont Ventoux,Mountain time trial,Jean-François Bernard,FRA,1987,Jean-François_Bernard,Time trial,1962-05-02,Luzy
19,1987-07-20,185.0,Valréas,Villard-de-Lans,Stage with mountain(s),Pedro Delgado,ESP,1987,Pedro_Delgado,Mountain stage,1960-04-15,Ségovie
20,1987-07-21,201.0,Villard-de-Lans,Alpe d'Huez,Stage with mountain(s),Federico Echave,ESP,1987,Federico_Echave,Mountain stage,1960-07-20,Kortezubi
21,1987-07-22,185.0,Le Bourg-d'Oisans,La Plagne,Stage with mountain(s),Laurent Fignon,FRA,1987,Laurent_Fignon,Mountain stage,1960-08-12,18e arrondissement de Paris
22,1987-07-23,186.0,La Plagne,Morzine,Stage with mountain(s),Eduardo Chozas,ESP,1987,Eduardo_Chozas,Mountain stage,1960-07-05,Madrid
23,1987-07-24,225.0,Saint-Julien-en-Genevois,Dijon,Plain stage,Régis Clère,FRA,1987,Régis_Clère,Flat stage,1956-08-15,Langres
24,1987-07-25,38.0,Dijon,Dijon,Individual time trial,Jean-François Bernard,FRA,1987,Jean-François_Bernard,Time trial,1962-05-02,Luzy
25,1987-07-26,192.0,Créteil,Paris,Plain stage,Jeff Pierce,USA,1987,Jeff_Pierce,Flat stage,1958-08-28,San Diego
P,1986-07-04,4.6,Boulogne-Billancourt,Boulogne-Billancourt,Individual time trial,Thierry Marie,FRA,1986,Thierry_Marie,Time trial,1963-06-25,Bénouville
1,1986-07-05,85.0,Nanterre,Sceaux,Plain stage,Pol Verschuere,BEL,1986,Pol_Verschuere,Flat stage,1955-01-18,Courtrai
2,1986-07-05,56.0,Meudon,Saint-Quentin-en-Yvelines,Team time trial,Système U,,1986,Système_U,Flat stage,,
3,1986-07-06,214.0,Levallois-Perret,Liévin,Plain stage,Davis Phinney,USA,1986,Davis_Phinney,Flat stage,1959-07-10,Boulder
4,1986-07-07,243.0,Liévin,Évreux,Plain stage,Pello Ruiz Cabestany,ESP,1986,Pello_Ruiz_Cabestany,Flat stage,1962-03-13,Saint-Sébastien
5,1986-07-08,124.5,Evreux,Villers-sur-Mer,Plain stage,Johan van der Velde,NED,1986,Johan_van_der_Velde,Flat stage,1956-12-12,Rijsbergen
6,1986-07-09,200.0,Villers-sur-Mer,Cherbourg,Plain stage,Guido Bontempi,ITA,1986,Guido_Bontempi,Flat stage,1960-01-12,Gussago
7,1986-07-10,201.0,Cherbourg,Saint-Hilaire-du-Harcouët,Plain stage,Ludo Peeters,BEL,1986,Ludo_Peeters,Flat stage,1953-08-09,Hoogstraten
8,1986-07-11,204.0,Saint-Hilaire-du-Harcouët,Nantes,Plain stage,Eddy Planckaert,BEL,1986,Eddy_Planckaert,Flat stage,1958-09-22,Nevele
9,1986-07-12,61.5,Nantes,Nantes,Individual time trial,Bernard Hinault,FRA,1986,Bernard_Hinault,Time trial,1954-11-14,Yffiniac
10,1986-07-13,183.0,Nantes,Futuroscope,Plain stage,Jose-Angel Sarrapio,ESP,1986,Jose-Angel_Sarrapio,Flat stage,,Las Arenas (en)
11,1986-07-14,258.3,Futuroscope,Bordeaux,Plain stage,Rudy Dhaenens,BEL,1986,Rudy_Dhaenens,Flat stage,1961-04-10,Deinze
12,1986-07-15,217.5,Bayonne,Pau,Stage with mountain(s),Pedro Delgado,ESP,1986,Pedro_Delgado,Mountain stage,1960-04-15,Ségovie
13,1986-07-16,186.0,Pau,Superbagnères,Stage with mountain(s),Greg LeMond,USA,1986,Greg_LeMond,Mountain stage,1961-06-26,Lakewood
14,1986-07-17,154.0,Superbagnères,Blagnac,Plain stage,Niki Rüttimann,SUI,1986,Niki_Rüttimann,Flat stage,1962-08-12,Thal
15,1986-07-18,225.5,Carcassonne,Nîmes,Plain stage,Frank Hoste,BEL,1986,Frank_Hoste,Flat stage,1955-08-29,Gand
16,1986-07-19,246.5,Nîmes,Gap,Plain stage,Jean-François Bernard,FRA,1986,Jean-François_Bernard,Flat stage,1962-05-02,Luzy
17,1986-07-20,190.0,Gap,Serre Chevalier,Stage with mountain(s),Eduardo Chozas,ESP,1986,Eduardo_Chozas,Mountain stage,1960-07-05,Madrid
18,1986-07-21,162.5,Briançon,Alpe d'Huez,Stage with mountain(s),Bernard Hinault,FRA,1986,Bernard_Hinault,Mountain stage,1954-11-14,Yffiniac
19,1986-07-23,179.5,Villard-de-Lans,Saint-Étienne,Plain stage,Julián Gorospe,ESP,1986,Julián_Gorospe,Flat stage,1960-03-22,Mañaria
20,1986-07-24,58.0,Saint-Étienne,Saint-Étienne,Individual time trial,Bernard Hinault,FRA,1986,Bernard_Hinault,Time trial,1954-11-14,Yffiniac
21,1986-07-25,190.0,Saint-Étienne,Puy de Dôme,Plain stage,Erich Mächler,SUI,1986,Erich_Mächler,Flat stage,1960-09-24,Hochdorf
22,1986-07-26,194.0,Clermont-Ferrand,Nevers,Plain stage,Guido Bontempi,ITA,1986,Guido_Bontempi,Flat stage,1960-01-12,Gussago
23,1986-07-27,255.0,Cosne-sur-Loire,Paris,Plain stage,Guido Bontempi,ITA,1986,Guido_Bontempi,Flat stage,1960-01-12,Gussago
P,1985-06-28,6.0,Plumelec,Plumelec,Individual time trial,Bernard Hinault,FRA,1985,Bernard_Hinault,Time trial,1954-11-14,Yffiniac
1,1985-06-29,256.0,Vannes,Lanester,Plain stage,Rudy Matthijs,BEL,1985,Rudy_Matthijs,Flat stage,1959-03-03,Eeklo
2,1985-06-30,242.0,Lorient,Vitre,Plain stage,Rudy Matthijs,BEL,1985,Rudy_Matthijs,Flat stage,1959-03-03,Eeklo
3,1985-07-01,73.0,Vitre,Fougères,Team time trial,La Vie Claire,,1985,La_Vie_Claire,Flat stage,,
4,1985-07-02,239.0,Fougères,Pont-Audemer,Plain stage,Gerrit Solleveld,NED,1985,Gerrit_Solleveld,Flat stage,1961-06-08,De Lier
5,1985-07-03,224.0,Neufchâtel-en-Bray,Roubaix,Plain stage with cobblestones,Henri Manders,NED,1985,Henri_Manders,Flat stage,,La Haye
6,1985-07-04,222.0,Roubaix,Reims,Plain stage,Francis Castaing,FRA,1985,Francis_Castaing,Flat stage,1959-04-22,Bordeaux
7,1985-07-05,217.0,Reims,Nancy,Plain stage,Ludwig Wijnants,BEL,1985,Ludwig_Wijnants,Flat stage,1956-07-04,Veerle
8,1985-07-06,75.0,Sarrebourg,Strasbourg,Individual time trial,Bernard Hinault,FRA,1985,Bernard_Hinault,Time trial,1954-11-14,Yffiniac
9,1985-07-07,174.0,Strasbourg,Épinal,Hilly stage,Maarten Ducrot,NED,1985,Maarten_Ducrot,,1958-04-08,Flessingue
10,1985-07-08,204.0,Épinal,Pontarlier,Hilly stage,Jørgen V. Pedersen,DEN,1985,Jørgen_V._Pedersen,,1959-10-08,Copenhague
11,1985-07-09,195.0,Pontarlier,Morzine Avoriaz,Stage with mountain(s),Luis Herrera,COL,1985,Luis_Herrera,Mountain stage,1961-05-04,Fusagasugá
12,1985-07-10,269.0,Morzine Avoriaz,Lans-en-Vercors,Stage with mountain(s),Fabio Parra,COL,1985,Fabio_Parra,Mountain stage,1959-11-22,Sogamoso
13,1985-07-11,32.0,Villard-de-Lans,Villard-de-Lans,Individual time trial,Eric Vanderaerden,BEL,1985,Eric_Vanderaerden,Time trial,1962-02-11,Lummen
14,1985-07-13,179.0,Autrans,Saint-Étienne,Hilly stage,Luis Herrera,COL,1985,Luis_Herrera,,1961-05-04,Fusagasugá
15,1985-07-14,238.0,Saint-Étienne,Aurillac,Plain stage,Eduardo Chozas,ESP,1985,Eduardo_Chozas,Flat stage,1960-07-05,Madrid
16,1985-07-15,247.0,Aurillac,Toulouse,Plain stage,Frédéric Vichot,FRA,1985,Frédéric_Vichot,Flat stage,1959-05-01,Valay
17,1985-07-16,209.0,Toulouse,Luz Ardiden,Stage with mountain(s),Pedro Delgado,ESP,1985,Pedro_Delgado,Mountain stage,1960-04-15,Ségovie
18a,1985-07-17,53.0,Luz-Saint-Sauveur,Aubisque,Stage with mountain(s),Stephen Roche,IRE,1985,Stephen_Roche,Mountain stage,1959-11-28,Dundrum
18b,1985-07-17,83.0,Laruns,Pau,Stage with mountain(s),Régis Simon,FRA,1985,Régis_Simon,Mountain stage,1958-03-19,Troyes
19,1985-07-18,203.0,Pau,Bordeaux,Plain stage,Eric Vanderaerden,BEL,1985,Eric_Vanderaerden,Flat stage,1962-02-11,Lummen
20,1985-07-19,225.0,Montpon-Ménestérol,Limoges,Plain stage,Johan Lammerts,NED,1985,Johan_Lammerts,Flat stage,1960-10-02,Berg-op-Zoom
21,1985-07-20,46.0,Lac de Vassivière,Lac de Vassivière,Individual time trial,Greg LeMond,USA,1985,Greg_LeMond,Time trial,1961-06-26,Lakewood
22,1985-07-21,196.0,Orléans,Paris,Plain stage,Rudy Matthijs,BEL,1985,Rudy_Matthijs,Flat stage,1959-03-03,Eeklo
P,1984-06-29,5.0,Montreuil,Noisy-le-Sec,Individual time trial,Bernard Hinault,FRA,1984,Bernard_Hinault,Time trial,1954-11-14,Yffiniac
1,1984-06-30,149.0,Bondy,Saint-Denis,Plain stage,Frank Hoste,BEL,1984,Frank_Hoste,Flat stage,1955-08-29,Gand
2,1984-07-01,249.0,Bobigny,Louvroil,Plain stage,Marc Madiot,FRA,1984,Marc_Madiot,Flat stage,1959-04-16,Renazé
3,1984-07-02,51.0,Louvroil,Valenciennes,Team time trial,Renault–Elf,,1984,Renault–Elf,Flat stage,,
4,1984-07-02,83.0,Valenciennes,Béthune,Plain stage,Ferdi Van Den Haute,BEL,1984,Ferdi_Van_Den_Haute,Flat stage,1952-06-25,Deftinge
5,1984-07-03,207.0,Béthune,Cergy-Pontoise,Plain stage,Paulo Ferreira,POR,1984,Paulo_Ferreira,Flat stage,,
6,1984-07-04,202.0,Cergy-Pontoise,Alençon,Plain stage,Frank Hoste,BEL,1984,Frank_Hoste,Flat stage,1955-08-29,Gand
7,1984-07-05,67.0,Alençon,Le Mans,Individual time trial,Laurent Fignon,FRA,1984,Laurent_Fignon,Time trial,1960-08-12,18e arrondissement de Paris
8,1984-07-06,192.0,Le Mans,Nantes,Plain stage,Pascal Jules,FRA,1984,Pascal_Jules,Flat stage,1961-07-22,La Garenne-Colombes
9,1984-07-07,338.0,Nantes,Bordeaux,Plain stage,Jan Raas,NED,1984,Jan_Raas,Flat stage,1952-11-08,Heinkenszand
10,1984-07-08,198.0,Langon,Pau,Plain stage,Eric Vanderaerden,BEL,1984,Eric_Vanderaerden,Flat stage,1962-02-11,Lummen
11,1984-07-09,227.0,Pau,Guzet-Neige,Stage with mountain(s),Robert Millar,GBR,1984,Robert_Millar,Mountain stage,1958-09-13,Glasgow
12,1984-07-10,111.0,Saint-Girons,Blagnac,Plain stage,Pascal Poisson,FRA,1984,Pascal_Poisson,Flat stage,1958-06-29,Plancoët
13,1984-07-11,220.0,Blagnac,Rodez,Plain stage,Pierre-Henri Menthéour,FRA,1984,Pierre-Henri_Menthéour,Flat stage,1960-05-09,Alger
14,1984-07-12,228.0,Rodez,Domaine du Rouret,Hilly stage,Fons De Wolf,BEL,1984,Fons_De_Wolf,,1956-06-22,Willebroeck
15,1984-07-13,241.0,Domaine du Rouret,Grenoble,Hilly stage,Frédéric Vichot,FRA,1984,Frédéric_Vichot,,1959-05-01,Valay
16,1984-07-15,22.0,Les Échelles,La Ruchère,Individual time trial,Laurent Fignon,FRA,1984,Laurent_Fignon,Time trial,1960-08-12,18e arrondissement de Paris
17,1984-07-16,151.0,Grenoble,Alpe d'Huez,Stage with mountain(s),Luis Herrera,COL,1984,Luis_Herrera,Mountain stage,1961-05-04,Fusagasugá
18,1984-07-17,185.0,Le Bourg-d'Oisans,La Plagne,Stage with mountain(s),Laurent Fignon,FRA,1984,Laurent_Fignon,Mountain stage,1960-08-12,18e arrondissement de Paris
19,1984-07-18,186.0,La Plagne,Morzine,Stage with mountain(s),Ángel Arroyo,ESP,1984,Ángel_Arroyo,Mountain stage,1956-08-02,El Barraco
20,1984-07-19,141.0,Morzine,Crans-Montana,Stage with mountain(s),Laurent Fignon,FRA,1984,Laurent_Fignon,Mountain stage,1960-08-12,18e arrondissement de Paris
21,1984-07-20,320.0,Crans-Montana,Villefranche-sur-Saône,Hilly stage,Frank Hoste,BEL,1984,Frank_Hoste,,1955-08-29,Gand
22,1984-07-21,51.0,Villié-Morgon,Villefranche-sur-Saône,Individual time trial,Laurent Fignon,FRA,1984,Laurent_Fignon,Time trial,1960-08-12,18e arrondissement de Paris
23,1984-07-22,197.0,Pantin,Paris,Hilly stage,Eric Vanderaerden,BEL,1984,Eric_Vanderaerden,,1962-02-11,Lummen
P,1983-07-01,6.0,Fontenay-sous-Bois,Fontenay-sous-Bois,Individual time trial,Eric Vanderaerden,BEL,1983,Eric_Vanderaerden,Time trial,1962-02-11,Lummen
1,1983-07-02,163.0,Nogent-sur-Marne,Créteil,Plain stage,Frits Pirard,NED,1983,Frits_Pirard,Flat stage,1954-12-08,Bréda
2,1983-07-03,100.0,Soissons,Fontaine-au-Pire,Team time trial,COOP–Mercier–Mavic,,1983,COOP–Mercier–Mavic,Flat stage,,
3,1983-07-04,152.0,Valenciennes,Roubaix,Hilly stage,Rudy Matthijs,BEL,1983,Rudy_Matthijs,,1959-03-03,Eeklo
4,1983-07-05,300.0,Roubaix,Le Havre,Plain stage,Serge Demierre,SUI,1983,Serge_Demierre,Flat stage,1956-01-16,Genève
5,1983-07-06,257.0,Le Havre,Le Mans,Plain stage,Dominique Gaigne,FRA,1983,Dominique_Gaigne,Flat stage,1961-07-03,Pacé
6,1983-07-07,58.0,Châteaubriant,Nantes,Individual time trial,Bert Oosterbosch,NED,1983,Bert_Oosterbosch,Time trial,1957-07-30,Eindhoven
7,1983-07-08,216.0,Nantes,Île d'Oléron,Plain stage,Riccardo Magrini,ITA,1983,Riccardo_Magrini,Flat stage,1954-12-26,Montecatini Terme
8,1983-07-09,222.0,La Rochelle,Bordeaux,Plain stage,Bert Oosterbosch,NED,1983,Bert_Oosterbosch,Flat stage,1957-07-30,Eindhoven
9,1983-07-10,207.0,Bordeaux,Pau,Plain stage,Philippe Chevallier,FRA,1983,Philippe_Chevallier,Flat stage,,
10,1983-07-11,201.0,Pau,Bagnères-de-Luchon,Stage with mountain(s),Robert Millar,GBR,1983,Robert_Millar,Mountain stage,1958-09-13,Glasgow
11,1983-07-12,177.0,Bagnères-de-Luchon,Fleurance,Plain stage,Régis Clère,FRA,1983,Régis_Clère,Flat stage,1956-08-15,Langres
12,1983-07-13,261.0,Fleurance,Roquefort-sur-Soulzon,Plain stage,Kim Andersen,DEN,1983,Kim_Andersen,Flat stage,1958-02-10,Malling (en)
13,1983-07-14,210.0,Roquefort-sur-Soulzon,Aurillac,Hilly stage,Henk Lubberding,NED,1983,Henk_Lubberding,,1953-08-04,Voorst
14,1983-07-15,149.0,Aurillac,Issoire,Hilly stage,Pierre Le Bigaut,FRA,1983,Pierre_Le_Bigaut,,1959-09-17,Guémené-sur-Scorff
15,1983-07-16,16.0,Clermont-Ferrand,Puy de Dôme,Individual time trial,Ángel Arroyo,ESP,1983,Ángel_Arroyo,Time trial,1956-08-02,El Barraco
16,1983-07-17,144.0,Issoire,Saint-Étienne,Hilly stage,Michel Laurent,FRA,1983,Michel_Laurent,,,
17,1983-07-18,223.0,La Tour-du-Pin,Alpe d'Huez,Stage with mountain(s),Peter Winnen,NED,1983,Peter_Winnen,Mountain stage,1957-09-05,Venray
18,1983-07-20,247.0,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Jacques Michaud,FRA,1983,Jacques_Michaud,Mountain stage,1951-07-11,Saint-Julien-en-Genevois
19,1983-07-21,15.0,Morzine,Avoriaz,Individual time trial,Lucien Van Impe,BEL,1983,Lucien_Van_Impe,Time trial,1946-10-20,Erpe-Mere
20,1983-07-22,291.0,Morzine,Dijon,Plain stage,Philippe Leleu,FRA,1983,Philippe_Leleu,Flat stage,1958-03-28,Lamballe
21,1983-07-23,50.0,Dijon,Dijon,Individual time trial,Laurent Fignon,FRA,1983,Laurent_Fignon,Time trial,1960-08-12,18e arrondissement de Paris
22,1983-07-24,195.0,Alfortville,Paris,Plain stage,Gilbert Glaus,SUI,1983,Gilbert_Glaus,Flat stage,1955-12-03,Thoune
P,1982-07-02,7.0,Basel,Basel,Individual time trial,Bernard Hinault,FRA,1982,Bernard_Hinault,Time trial,1954-11-14,Yffiniac
1,1982-07-03,207.0,Basel,Möhlin,Hilly stage,Ludo Peeters,BEL,1982,Ludo_Peeters,,1953-08-09,Hoogstraten
2,1982-07-04,250.0,Basel,Nancy,Plain stage,Phil Anderson,AUS,1982,Phil_Anderson,Flat stage,1958-03-20,Londres
3,1982-07-05,134.0,Nancy,Longwy,Plain stage,Daniel Willems,BEL,1982,Daniel_Willems,Flat stage,1956-08-16,Herentals
4,1982-07-06,219.0,Beauraing,Mouscron,Plain stage,Gerrie Knetemann,NED,1982,Gerrie_Knetemann,Flat stage,1951-03-06,Amsterdam
5,1982-07-07,73.0,Orchies,Fontaine-au-Pire,Team time trial,Cancelled and replaced by stage 9a,,1982,Cancelled_and_replaced_by_stage_9a,Flat stage,,
