Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city,dist_from_origin,dist_from_destination
6,1922-07-05,326.0,Bayonne,Luchon,Stage with mountain(s),Jean Alavoine,FRA,1922,Jean_Alavoine,Mountain stage,1888-04-01,Roubaix,874.2026709321207,900.0241964750461
7,1922-07-07,323.0,Luchon,Perpignan,Stage with mountain(s),Jean Alavoine,FRA,1922,Jean_Alavoine,Mountain stage,1888-04-01,Roubaix,900.0241964750461,888.8009342095492
2,1921-06-28,364.0,Le Havre,Cherbourg,Plain stage,Romain Bellenger,FRA,1921,Romain_Bellenger,Flat stage,1894-01-18,18e arrondissement de Paris,177.9193785353142,302.36540693522016
11,1921-07-16,325.0,Grenoble,Geneva,Stage with mountain(s),Félix Goethals,FRA,1921,Félix_Goethals,Mountain stage,1891-01-14,Rinxent,692.0232468589792,606.5564857863742
12,1921-07-18,371.0,Geneva,Strasbourg,Plain stage,Honoré Barthélemy,FRA,1921,Honoré_Barthélemy,Flat stage,1891-09-25,13e arrondissement de Paris,407.317557180645,397.31284056902064
14,1921-07-22,433.0,Metz,Dunkerque,Plain stage,Félix Goethals,FRA,1921,Félix_Goethals,Flat stage,1891-01-14,Rinxent,369.3950239158205,51.51247215902581
15,1921-07-24,340.0,Dunkerque,Paris,Plain stage,Félix Goethals,FRA,1921,Félix_Goethals,Flat stage,1891-01-14,Rinxent,51.51247215902581,220.5949268798573
3,1920-07-01,405.0,Cherbourg,Brest,Plain stage,Henri Pélissier,FRA,1920,Henri_Pélissier,Flat stage,1889-01-22,18e arrondissement de Paris,302.36540693522016,507.8077485643782
4,1920-07-03,412.0,Brest,Les Sables d'Olonne,Plain stage,Henri Pélissier,FRA,1920,Henri_Pélissier,Flat stage,1889-01-22,18e arrondissement de Paris,507.8077485643782,409.5358311005181
14,1920-07-24,433.0,Metz,Dunkerque,Plain stage,Félix Goethals,FRA,1920,Félix_Goethals,Flat stage,1891-01-14,Rinxent,369.3950239158205,51.51247215902581
2,1919-07-01,364.0,Le Havre,Cherbourg,Plain stage,Henri Pélissier,FRA,1919,Henri_Pélissier,Flat stage,1889-01-22,18e arrondissement de Paris,177.9193785353142,302.36540693522016
3,1919-07-03,405.0,Cherbourg,Brest,Plain stage,Francis Pélissier,FRA,1919,Francis_Pélissier,Flat stage,1894-06-13,18e arrondissement de Paris,302.36540693522016,507.8077485643782
4,1919-07-05,412.0,Brest,Les Sables-d'Olonne,Plain stage,Jean Alavoine,FRA,1919,Jean_Alavoine,Flat stage,1888-04-01,Roubaix,610.2406857792569,592.5471406615608
5,1919-07-07,482.0,Les Sables-d'Olonne,Bayonne,Plain stage,Jean Alavoine,FRA,1919,Jean_Alavoine,Flat stage,1888-04-01,Roubaix,592.5471406615608,874.2026709321207
6,1919-07-09,326.0,Bayonne,Luchon,Stage with mountain,Honore Barthelemy,FRA,1919,Honore_Barthelemy,Mountain stage,,,,
7,1919-07-11,323.0,Luchon,Perpignan,Stage with mountain,Jean Alavoine,FRA,1919,Jean_Alavoine,Mountain stage,1888-04-01,Roubaix,900.0241964750461,888.8009342095492
8,1919-07-13,370.0,Perpignan,Marseille,Plain stage,Jean Alavoine,FRA,1919,Jean_Alavoine,Flat stage,1888-04-01,Roubaix,888.8009342095492,838.8426095106394
9,1919-07-15,338.0,Marseille,Nice,Stage with mountain,Honoré Barthélemy,FRA,1919,Honoré_Barthélemy,Mountain stage,1891-09-25,13e arrondissement de Paris,656.5131349452843,682.9450531847889
10,1919-07-17,333.0,Nice,Grenoble,Stage with mountain,Honoré Barthélemy,FRA,1919,Honoré_Barthélemy,Mountain stage,1891-09-25,13e arrondissement de Paris,682.9450531847889,478.325315143788
11,1919-07-19,325.0,Grenoble,Geneva,Stage with mountain,Honoré Barthélemy,FRA,1919,Honoré_Barthélemy,Mountain stage,1891-09-25,13e arrondissement de Paris,478.325315143788,407.317557180645
15,1919-07-27,340.0,Dunkerque,Paris,Plain stage,Jean Alavoine,FRA,1919,Jean_Alavoine,Flat stage,1888-04-01,Roubaix,67.86279541115492,212.91940562986298
3,1914-07-02,405.0,Cherbourg,Brest,Plain stage,Emile Engel,FRA,1914,Emile_Engel,Flat stage,,,,
7,1914-07-10,323.0,Luchon,Perpignan,Stage with mountain(s),Jean Alavoine,FRA,1914,Jean_Alavoine,Mountain stage,1888-04-01,Roubaix,900.0241964750461,888.8009342095492
8,1914-07-12,370.0,Perpignan,Marseille,Plain stage,Octave Lapize,FRA,1914,Octave_Lapize,Flat stage,1887-10-24,14e arrondissement de Paris,683.2589345426882,658.7943460940887
10,1914-07-16,323.0,Nice,Grenoble,Stage with mountain(s),Henri Pélissier,FRA,1914,Henri_Pélissier,Mountain stage,1889-01-22,18e arrondissement de Paris,688.7857514580016,484.2998898721282
11,1914-07-18,325.0,Grenoble,Geneva,Stage with mountain(s),Gustave Garrigou,FRA,1914,Gustave_Garrigou,Mountain stage,1884-09-24,Vabre-Tizac,301.8514246368313,380.2049655135653
12,1914-07-20,325.0,Geneva,Belfort,Stage with mountain(s),Henri Pélissier,FRA,1914,Henri_Pélissier,Mountain stage,1889-01-22,18e arrondissement de Paris,412.2988776079014,361.5086846032555
15,1914-07-26,340.0,Dunkerque,Paris,Plain stage,Henri Pélissier,FRA,1914,Henri_Pélissier,Flat stage,1889-01-22,18e arrondissement de Paris,238.99921673056792,4.521219161675102
3,1913-07-03,405.0,Cherbourg,Brest,Plain stage,Henri Pelissier,FRA,1913,Henri_Pelissier,Flat stage,1889-01-22,18e arrondissement de Paris,302.36540693522016,507.8077485643782
8,1913-07-13,325.0,Perpignan,Aix-en-Provence,Plain stage,Gustave Garrigou,FRA,1913,Gustave_Garrigou,Flat stage,1884-09-24,Vabre-Tizac,184.81658685723443,277.49953515753356
1,1912-06-30,351.0,Paris,Dunkerque,Plain stage,Charles Crupelandt,FRA,1912,Charles_Crupelandt,Flat stage,1886-10-23,Roubaix,212.91940562986298,67.86279541115492
3,1912-07-04,331.0,Longwy,Belfort,Stage with mountain(s),Eugène Christophe,FRA,1912,Eugène_Christophe,Mountain stage,1885-01-22,1er arrondissement de Paris,4233.3041620807035,4011.168324688875
4,1912-07-06,344.0,Belfort,Chamonix,Stage with mountain(s),Eugène Christophe,FRA,1912,Eugène_Christophe,Mountain stage,1885-01-22,1er arrondissement de Paris,4011.168324688875,3826.1393664877787
5,1912-07-08,366.0,Chamonix,Grenoble,Stage with mountain(s),Eugène Christophe,FRA,1912,Eugène_Christophe,Mountain stage,1885-01-22,1er arrondissement de Paris,3826.1393664877787,3770.634005470209
